# l_x l_y  l_re  l_q  l_pa  l_n  l_mag  s_x  s_y  s_re  s_q  s_pa  s_n  s_mag  l_mx  l_my  l_b  l_q  l_pa  l_eta  sh_x  sh_y  sh_b  sh_pa 
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 1.0 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 0.7 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 18.0 1.0 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 0.7 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 36.0 1.0 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 0.7 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 2.0 20.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 2.0 21.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 2.0 21.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 2.0 22.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 4.0 20.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 4.0 21.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 4.0 21.5 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 17.70 180.50 181.00 54.0 1.0 45.0 4.0 22.0 180.0 180.0 65.45 0.85 74 1.2 180.0 180.0 0.0 0.0
